"","V1"
"1",100
"2",89.9514948192018
"3",91.7111342127243
"4",91.4514420086772
"5",91.351034209509
"6",89.9220288359256
"7",91.3618636595883
"8",91.2860031362158
"9",91.1840579463086
"10",91.0736962372997
"11",82.1729823710673
"12",92.0657779820784
"13",90.7052653647647
"14",90.5278352355626
"15",91.3225584953853
"16",90.7714674050673
"17",90.8898057528762
"18",91.1194698620991
"19",91.5223588302638
"20",90.9143424197909
"21",90.4852004426874
"22",90.7002598861438
"23",91.4598739458162
"24",90.453422487787
"25",90.7683748306015
"26",91.0217016295674
"27",91.1263958368531
"28",91.0011146162513
"29",91.2544021058452
"30",91.0862191059521
"31",91.3328851320764
"32",91.3622814261376
"33",91.3703572295937
"34",91.5423484753747
"35",90.9765842740017
"36",91.7095329529861
"37",90.8017106696285
"38",91.7143233556155
"39",91.8739439300291
"40",91.189718198634
"41",91.4649092255824
"42",91.5583035280184
"43",91.5921775003323
"44",92.1632367520396
"45",91.7790858917018
"46",92.7528556138699
"47",92.5807314439587
"48",92.8558683708468
"49",83.4177961356484
"50",93.5611264583271
"51",92.4927941525654
"52",91.9570338817434
"53",92.461790426182
"54",92.3291616524363
"55",83.4415036669881
"56",92.8117665771957
"57",92.2074342732804
"58",92.4192635551664
"59",91.6598367150099
"60",92.7223465458975
"61",91.1954366540856
"62",91.9129026273248
"63",92.7139402608789
"64",92.4634555317531
"65",92.5626374228332
"66",92.4471940700009
"67",91.7525877906097
"68",92.21919255824
"69",92.6775786685323
"70",91.6444688997683
"71",92.1404704980482
"72",91.9356406992758
"73",92.5158405910878
"74",91.3893431304697
"75",82.4377810394872
"76",83.2092232199758
"77",82.9892902752536
"78",93.1918263108589
"79",92.2650828695062
"80",92.0518533060152
"81",92.5883303201226
"82",92.5703517707098
"83",92.5744192210322
"84",92.2511175589406
"85",92.7571661049894
"86",92.6385127916384
"87",92.7037514780817
"88",91.8882509831225
"89",92.5638392486882
"90",92.4617879462823
"91",92.3918891474054
"92",92.1156788422395
"93",91.9853968770408
"94",92.6183232386104
"95",92.1485918034421
"96",92.7321583256898
"97",92.6151411144422
"98",91.7820268718245
"99",91.6960896895955
"100",91.678496135098
"101",92.0475666474255
"102",91.7260872961824
"103",91.5639747000086
"104",91.9733107605656
"105",83.1684924845351
"106",83.7383315405921
"107",89.6916789389097
"108",89.022142545457
"109",89.7603178903607
"110",89.6670882833295
"111",89.7396929141185
"112",89.5942321769269
"113",89.7945230583459
"114",89.8473734204437
"115",89.9598983955668
"116",90.0602646370875
"117",89.8754676053827
"118",90.1556361587311
"119",90.3149407051554
"120",89.0654237333946
"121",89.8734849879449
"122",90.2868222396805
"123",89.7944692003713
"124",89.7732317163806
"125",90.034312254347
"126",89.7660444007037
"127",89.9831579730988
"128",89.7467118969428
"129",90.6881031555918
"130",89.6069305831048
"131",89.7520805872524
"132",90.0033921930742
"133",89.4391227928236
"134",89.5537841907618
"135",89.8983096998138
"136",90.4541354263183
"137",89.6353637072755
"138",89.6363297685618
"139",90.0263927488585
"140",89.7746711102011
"141",89.5641376329041
"142",89.6689221039588
"143",89.7034681268697
"144",88.8603941244938
"145",89.8880417177582
"146",89.7924142083713
"147",89.8336590259317
"148",89.9418723730608
"149",89.8834952062724
"150",89.9648482986227
"151",89.6661087333794
"152",89.8831004466694
"153",89.9054666130202
"154",90.0540630734474
"155",90.0926871141294
"156",90.0384478782762
"157",90.0345284860773
"158",90.144131312065
"159",89.9014243057057
"160",90.469233625504
"161",89.5104500217474
"162",90.2924223105384
"163",90.0621390002592
"164",89.9642264226734
"165",89.8516270027014
"166",89.6996933522327
"167",90.7393438917696
"168",90.6290152356089
"169",89.9702160269934
"170",90.2217864885731
"171",90.0839083002072
"172",90.2374453578012
"173",90.2332401905475
"174",90.3817561345364
"175",89.9546595960355
"176",90.1426532923923
"177",90.780094612077
"178",90.238684231934
"179",90.2813892040726
"180",90.5739297400582
"181",89.6655718840976
"182",90.0772680894587
"183",90.0204747303718
"184",81.0543635745923
"185",90.9935664794012
"186",89.9789558816318
"187",90.2931704921733
"188",90.5080944399324
"189",90.418309040154
"190",90.5252886847656
"191",90.6107502818331
"192",90.173937697284
"193",90.0161996267466
"194",90.4406208985519
"195",90.2518779777632
"196",89.9466450193262
"197",90.5363666800934
"198",90.3688082251535
"199",89.9213177134668
"200",90.4399124865159
"201",90.6627112827337
"202",91.0629108171183
"203",90.5829092003869
"204",90.788348810614
"205",90.3231419054292
"206",90.4282940820934
"207",90.1354034108041
"208",90.6088002211236
"209",90.6742171887068
"210",90.6096160187075
"211",90.4493897928277
"212",90.2588112487686
"213",90.2542583662982
"214",90.0375863292281
"215",90.1470930252495
"216",90.4251922108508
"217",90.1661286914555
"218",89.9458182868464
"219",89.820851931683
"220",89.9541335794207
"221",90.2698830438607
"222",90.0625259417532
"223",89.8894019211289
"224",90.2503549851462
"225",90.1063495709382
"226",90.7354820815283
"227",90.0251866804306
"228",89.9588367295869
"229",90.3272608205069
"230",90.2946868570451
"231",90.3101808394128
"232",90.5657354764011
"233",90.3473132440151
"234",89.8679324168044
"235",90.4511181844643
"236",90.6353122968735
"237",90.6238448987137
"238",90.6856523326083
"239",90.9063344769434
"240",90.6513110238393
"241",90.7800612779194
"242",90.7170423849004
"243",90.9556359071243
"244",90.710166904265
"245",90.8713143899005
"246",90.8664159612899
"247",91.0334782898764
"248",90.8885553628308
"249",90.9025519763112
"250",90.7622841785683
"251",90.90919154502
"252",90.7535787593633
"253",91.1683412348383
"254",91.0432828936784
"255",90.8079765477893
"256",91.0598475975946
"257",91.3187866841569
"258",90.4520575602548
"259",90.8964451683433
"260",81.5866133943313
"261",92.1477127857578
"262",91.0351011769673
"263",90.877667505231
"264",90.9875493522826
"265",91.2651055456521
"266",91.4829899103391
"267",91.422911341265
"268",90.623971569652
"269",90.5852831116072
"270",90.7635770834656
"271",81.7769873990685
"272",91.3227246790705
"273",90.1235005633701
"274",89.7733236167288
"275",89.5863841433619
"276",90.25957148334
"277",81.3605487129306
"278",91.1561501824672
"279",90.2025627160296
"280",89.7731734854359
"281",90.1681458035486
"282",90.2822529885129
"283",90.619870601315
"284",89.8767296838527
"285",89.6513422481159
"286",90.1649700093002
"287",90.5984702428419
"288",89.953128509521
"289",90.2218663359851
"290",90.0752145452093
"291",89.49478525155
"292",89.8929964073589
"293",89.7909521112322
"294",89.9031146859197
"295",90.0133874710838
"296",89.9673160087354
"297",90.5122570736172
"298",88.9791219309613
"299",90.0916079893814
"300",89.8473116220086
"301",90.046330864486
"302",89.8656949278754
"303",89.9570468544837
"304",90.2098022028197
"305",89.4184974605456
"306",90.113578481026
"307",88.9075198373369
"308",90.0700864953137
"309",89.7324662657737
"310",89.7136557593105
"311",89.8901728557847
"312",88.895391340144
"313",90.3837851267476
"314",90.4117820873313
"315",90.1411299967813
"316",90.4147888921679
"317",90.1664683489553
"318",90.1569452056819
"319",90.0981220153109
"320",90.4416458024639
"321",90.5230603223924
"322",90.5427694869772
"323",90.6589048924847
"324",90.7266141351378
"325",90.5240335017444
"326",90.400895832348
"327",90.6026866066941
"328",89.5666467308043
"329",91.0697771466225
"330",90.4199142699907
"331",90.4777725638767
"332",90.7662897795497
"333",90.3446982753593
"334",91.1687334490342
"335",90.4714280838242
"336",90.5200878283311
"337",90.2751023928351
"338",90.7543866494545
"339",90.6856850957818
"340",90.7948734331239
"341",91.0047092807968
"342",90.8662986849847
"343",90.9208154217023
"344",90.7233674246567
"345",90.7508793375582
"346",90.9724256682207
"347",90.5041140699044
"348",90.8224835403302
"349",90.916392120558
"350",90.8913260941097
"351",90.8671746033299
"352",91.0307857436318
"353",90.8891647795997
"354",90.9825050396798
"355",91.1715170595037
"356",91.1014321023866
"357",91.0921997436062
"358",90.8968461635225
"359",91.1297718602747
"360",91.2825633709628
"361",91.2865884462443
"362",91.0229974030262
"363",91.0834874711082
"364",91.1125538934642
"365",90.4789720612346
"366",91.1979462769823
"367",91.491589944137
"368",91.2671460974751
"369",91.2397431039861
"370",91.859399179644
"371",91.2000438685072
"372",91.2729488731286
"373",91.8527557863509
"374",90.8154135722158
"375",81.2529164400194
"376",91.445673696808
"377",89.6601436343028
"378",90.9037644171174
"379",90.3781867452208
